descr,bitcoin-cash,dogecoin,z,x_dif,y_dif,trade_pnl,date,cumulative_pnl
short,230.11996459960938,0.07476434856653214,1.0411032438278198,0.007587131146976923,-0.00017924575300154436,-0.001,2023-08-15,-0.001
,0.0,0.0,0.0,0.0,0.0,0.0,2023-08-16,-0.001
,0.0,0.0,0.0,0.0,0.0,0.0,2023-08-17,-0.001
close short,183.8004608154297,0.061057306826114655,-0.6941861510276794,-0.20128416004570476,-0.18333660365166835,0.035877165231678804,2023-08-18,0.0348771652316788
long,187.278076171875,0.06318900734186172,-1.3417071104049683,0.01892060194526658,0.03491311075704581,-0.001,2023-08-19,0.0338771652316788
,0.0,0.0,0.0,0.0,0.0,0.0,2023-08-20,0.0338771652316788
,0.0,0.0,0.0,0.0,0.0,0.0,2023-08-21,0.0338771652316788
,0.0,0.0,0.0,0.0,0.0,0.0,2023-08-22,0.0338771652316788
,0.0,0.0,0.0,0.0,0.0,0.0,2023-08-23,0.0338771652316788
close long,193.7212371826172,0.06382348388433456,0.4914851486682892,0.034404246041212845,0.010040932262794205,0.04870226424305886,2023-08-24,0.08257942947473766
short,194.44598388671875,0.06298434734344482,1.295292854309082,0.0037411835410609013,-0.013147770848900737,-0.001,2023-08-25,0.08157942947473766
,0.0,0.0,0.0,0.0,0.0,0.0,2023-08-26,0.08157942947473766
,0.0,0.0,0.0,0.0,0.0,0.0,2023-08-27,0.08157942947473766
,0.0,0.0,0.0,0.0,0.0,0.0,2023-08-28,0.08157942947473766
close short,190.28636169433594,0.06344910711050034,-0.4359757900238037,-0.021392173339029437,0.007378972501234975,0.05751352053468856,2023-08-29,0.13909295000942623
short,224.14666748046875,0.06632427871227264,3.1655728816986084,0.17794394450887596,0.045314610917455915,-0.001,2023-08-30,0.13809295000942623
,0.0,0.0,0.0,0.0,0.0,0.0,2023-08-31,0.13809295000942623
,0.0,0.0,0.0,0.0,0.0,0.0,2023-09-01,0.13809295000942623
,0.0,0.0,0.0,0.0,0.0,0.0,2023-09-02,0.13809295000942623
